"Année";"Zone - Code de la zone";"Zone - Libellé de la zone";"Nombre de terrains";"Prix moyen du terrain en euros / m²";"1er quartile du prix du terrain en euros / m²";"Prix médian du terrain en euros / m²";"3ième quartile du prix du terrain en euros / m²";"Surface moyenne du terrain en m²";"Prix moyen du terrain en euros"
"ANNEE";"ZONE_CODE";"ZONE_LIBELLE";"NB_TERRAINS";"PTM2_MOY";"PTM2_Q1";"PTM2_MED";"PTM2_Q3";"SURFT_MOY";"PT_MOY"
"2016";"28";"Normandie";4857;51;32;59;102;1081;55279
"2016";"32";"Hauts-de-France";4481;72;50;91;124;866;62208
"2016";"44";"Grand Est";4259;79;48;101;165;884;69696
"2016";"52";"Pays de la Loire";7566;87;60;97;150;704;61300
"2016";"53";"Bretagne";6985;78;56;97;142;744;58326
"2016";"75";"Nouvelle-Aquitaine";10126;59;27;71;129;1131;66743
"2016";"76";"Occitanie";9019;82;51;115;214;998;81695
"2016";"84";"Auvergne-Rhône-Alpes";7863;92;53;100;176;1005;92313
"2016";"93";"Provence-Alpes-Côte d'Azur";3899;154;111;194;270;925;142435
"2016";"94";"Corse";418;83;59;90;115;1439;119039
"2016";"XX";"Région fictive";1477;133;97;149;237;746;99343
"2015";"11";"Île-de-France";2744;201;149;225;323;660;132740
"2015";"24";"Centre-Val de Loire";2793;57;35;71;111;1034;58530
"2015";"27";"Bourgogne-Franche-Comté";2539;45;25;52;85;1204;53825
"2015";"28";"Normandie";4149;53;36;62;103;1084;57968
"2015";"32";"Hauts-de-France";3962;72;49;93;127;891;64020
"2015";"44";"Grand Est";3699;82;53;110;166;878;72148
"2015";"52";"Pays de la Loire";6040;82;57;92;145;743;61291
"2015";"53";"Bretagne";5520;78;55;94;140;713;55848
"2015";"75";"Nouvelle-Aquitaine";8217;56;26;65;122;1166;65304
"2015";"76";"Occitanie";7384;79;49;107;197;969;76565
"2015";"84";"Auvergne-Rhône-Alpes";6776;89;53;100;168;1006;89770
"2015";"93";"Provence-Alpes-Côte d'Azur";2927;140;101;174;244;1028;143816
"2015";"94";"Corse";352;68;55;72;98;1568;106995
"2015";"XX";"Région fictive";1183;125;94;131;210;772;96152
"2014";"11";"Île-de-France";2505;218;163;242;386;669;145836
"2014";"24";"Centre-Val de Loire";2772;60;40;76;112;988;59182
"2014";"27";"Bourgogne-Franche-Comté";2429;46;27;57;90;1191;55330
"2014";"28";"Normandie";4102;51;33;57;100;1124;57569
"2014";"32";"Hauts-de-France";3988;76;50;91;130;861;65333
"2014";"44";"Grand Est";3473;77;48;100;159;913;70736
"2014";"52";"Pays de la Loire";5593;81;54;88;142;755;60946
"2014";"53";"Bretagne";5492;78;57;95;139;719;56362
"2014";"75";"Nouvelle-Aquitaine";8307;55;26;64;122;1194;65404
"2014";"76";"Occitanie";7325;79;50;109;195;1005;79408
"2014";"84";"Auvergne-Rhône-Alpes";7534;91;55;105;169;1004;91135
"2014";"93";"Provence-Alpes-Côte d'Azur";2821;136;100;169;245;1089;148677
"2014";"94";"Corse";336;70;50;71;97;1343;93513
"2014";"XX";"Région fictive";1117;113;82;122;198;837;94214
"2013";"11";"Île-de-France";2355;215;157;234;406;696;149267
"2013";"24";"Centre-Val de Loire";3275;54;37;64;104;1054;57208
"2013";"27";"Bourgogne-Franche-Comté";2777;43;26;51;83;1187;50890
"2013";"28";"Normandie";4433;49;30;55;95;1172;57079
"2013";"32";"Hauts-de-France";4471;76;50;93;128;862;65505
"2013";"44";"Grand Est";3608;71;40;90;150;950;67094
"2013";"52";"Pays de la Loire";6455;77;51;83;135;767;59283
"2013";"53";"Bretagne";6029;73;50;86;134;762;55866
"2013";"75";"Nouvelle-Aquitaine";9679;50;24;57;112;1233;61570
"2013";"76";"Occitanie";7844;74;47;101;191;1070;78722
"2013";"84";"Auvergne-Rhône-Alpes";8385;83;52;98;155;1043;87058
"2013";"93";"Provence-Alpes-Côte d'Azur";2957;125;99;161;236;1186;148490
"2013";"94";"Corse";432;66;48;74;98;1455;96403
"2013";"XX";"Région fictive";1469;118;84;124;180;800;94397
"2012";"11";"Île-de-France";2731;210;143;254;405;725;152514
"2012";"24";"Centre-Val de Loire";3989;53;34;60;98;1077;56663
"2012";"27";"Bourgogne-Franche-Comté";3449;40;25;48;80;1284;51305
"2012";"28";"Normandie";5369;47;31;53;87;1207;56654
"2012";"32";"Hauts-de-France";5100;71;47;83;118;911;64869
"2012";"44";"Grand Est";4708;63;39;80;129;1029;64689
"2012";"52";"Pays de la Loire";7624;70;47;75;111;828;57938
"2012";"53";"Bretagne";7102;64;44;77;115;853;54983
"2012";"75";"Nouvelle-Aquitaine";11260;44;25;51;94;1319;58376
"2012";"76";"Occitanie";9360;65;40;83;158;1167;75379
"2012";"84";"Auvergne-Rhône-Alpes";9671;82;50;92;148;1060;87105
"2012";"93";"Provence-Alpes-Côte d'Azur";3350;129;95;160;272;1123;144539
"2012";"94";"Corse";560;64;49;73;93;1603;102081
"2012";"XX";"Région fictive";1236;100;70;105;156;894;89484
"2011";"11";"Île-de-France";2646;175;112;215;344;868;151757
"2011";"24";"Centre-Val de Loire";4047;48;31;55;88;1123;53922
"2011";"27";"Bourgogne-Franche-Comté";4050;40;26;47;75;1241;50158
"2011";"28";"Normandie";6413;43;29;47;79;1261;53844
"2011";"32";"Hauts-de-France";5655;64;43;75;106;972;62605
"2011";"44";"Grand Est";5198;59;34;74;120;1062;62386
"2011";"52";"Pays de la Loire";8413;66;45;70;104;831;55095
"2011";"53";"Bretagne";7795;62;43;77;106;851;52639
"2011";"75";"Nouvelle-Aquitaine";12177;42;23;45;82;1327;55660
"2011";"76";"Occitanie";10000;61;38;77;128;1187;72610
"2011";"84";"Auvergne-Rhône-Alpes";10880;74;48;81;123;1100;81747
"2011";"93";"Provence-Alpes-Côte d'Azur";3391;110;81;126;236;1355;148893
"2011";"94";"Corse";515;56;38;57;79;1774;98801
"2011";"XX";"Région fictive";1286;102;73;105;178;941;95690
"2010";"11";"Île-de-France";2066;166;99;179;293;789;130637
"2010";"24";"Centre-Val de Loire";4611;46;33;55;79;1115;51247
"2010";"27";"Bourgogne-Franche-Comté";3882;38;25;45;70;1265;47985
"2010";"28";"Normandie";5898;38;26;42;67;1347;50972
"2010";"32";"Hauts-de-France";5521;57;39;65;93;1001;57351
"2010";"44";"Grand Est";5006;56;34;65;105;1011;56980
"2010";"52";"Pays de la Loire";9154;60;43;65;93;864;52025
"2010";"53";"Bretagne";7458;57;39;67;97;866;49293
"2010";"75";"Nouvelle-Aquitaine";12772;39;23;43;75;1314;51475
"2010";"76";"Occitanie";10206;61;38;73;123;1165;70952
"2010";"84";"Auvergne-Rhône-Alpes";10296;70;46;78;110;1087;76039
"2010";"93";"Provence-Alpes-Côte d'Azur";2736;108;79;121;218;1246;134471
"2010";"94";"Corse";429;62;42;68;82;1561;96153
"2010";"XX";"Région fictive";1041;80;67;96;179;1241;99580
"2009";"11";"Île-de-France";2004;201;133;223;355;734;147818
"2009";"24";"Centre-Val de Loire";3756;44;28;52;80;1141;49661
"2009";"27";"Bourgogne-Franche-Comté";2921;33;20;42;65;1388;46444
"2009";"28";"Normandie";5120;38;24;43;71;1313;50120
"2009";"32";"Hauts-de-France";4390;58;38;64;101;992;57651
"2009";"44";"Grand Est";3915;55;32;60;110;1030;56969
"2009";"52";"Pays de la Loire";7405;56;40;60;94;910;50782
"2009";"53";"Bretagne";6179;60;42;70;105;851;51444
"2009";"75";"Nouvelle-Aquitaine";10051;35;18;38;74;1434;50213
"2009";"76";"Occitanie";8752;62;39;87;157;1152;71925
"2009";"84";"Auvergne-Rhône-Alpes";7685;69;41;80;124;1120;77148
"2009";"93";"Provence-Alpes-Côte d'Azur";2627;121;92;136;209;1149;138648
"2009";"94";"Corse";423;62;50;71;85;1377;85736
"2009";"XX";"Région fictive";1086;110;70;122;200;886;97545
"2008";"11";"Île-de-France";4293;1228;1016;1174;1397;141;172605
"2008";"24";"Centre-Val de Loire";6682;999;850;992;1127;124;123699
"2008";"27";"Bourgogne-Franche-Comté";6859;1111;931;1084;1273;125;138638
"2008";"28";"Normandie";8623;1067;887;1044;1230;124;132336
"2008";"32";"Hauts-de-France";8518;1075;891;1061;1237;130;139239
"2008";"44";"Grand Est";10627;1123;913;1097;1320;146;163561
"2008";"52";"Pays de la Loire";12989;1136;970;1125;1290;120;136071
"2008";"53";"Bretagne";13789;1139;966;1128;1306;128;145601
"2008";"75";"Nouvelle-Aquitaine";21450;1080;891;1055;1246;123;132663
"2008";"76";"Occitanie";18420;1056;849;1029;1235;125;132080
"2008";"84";"Auvergne-Rhône-Alpes";17676;1170;922;1103;1341;128;150017
"2008";"93";"Provence-Alpes-Côte d'Azur";5772;1217;926;1172;1440;127;154758
"2008";"94";"Corse";1244;1296;931;1273;1566;120;155057
"2008";"XX";"Région fictive";5087;1130;821;1095;1362;98;111092
"2007";"11";"Île-de-France";5472;1199;974;1130;1331;142;170645
"2007";"24";"Centre-Val de Loire";7771;965;817;954;1103;128;123116
"2007";"27";"Bourgogne-Franche-Comté";8699;1073;895;1061;1246;129;138574
"2007";"28";"Normandie";11011;1021;860;1021;1170;129;131191
"2007";"32";"Hauts-de-France";11272;1051;877;1041;1201;134;140801
"2007";"44";"Grand Est";12352;1071;891;1049;1247;149;159544
"2007";"52";"Pays de la Loire";15616;1094;941;1080;1233;123;134988
"2007";"53";"Bretagne";16792;1127;957;1117;1286;128;144300
"2007";"75";"Nouvelle-Aquitaine";26266;1054;881;1035;1212;126;132565
"2007";"76";"Occitanie";20855;1028;827;1013;1195;128;132002
"2007";"84";"Auvergne-Rhône-Alpes";20949;1143;914;1086;1308;131;149522
"2007";"93";"Provence-Alpes-Côte d'Azur";7480;1240;919;1148;1408;136;168228
"2007";"94";"Corse";1385;1253;951;1214;1446;135;169713
"2007";"XX";"Région fictive";6093;1140;834;1120;1422;100;113983
"2006";"11";"Île-de-France";4133;177;117;192;321;871;153829
"2006";"24";"Centre-Val de Loire";6232;33;18;38;63;1357;44944
"2006";"27";"Bourgogne-Franche-Comté";6081;26;14;30;54;1450;37996
"2006";"28";"Normandie";8692;26;15;30;52;1583;41160
"2006";"32";"Hauts-de-France";8276;45;25;49;79;1195;53339
"2006";"44";"Grand Est";7432;45;23;50;89;1110;49675
"2006";"52";"Pays de la Loire";12793;45;30;48;73;1043;46985
"2006";"53";"Bretagne";11590;42;24;48;78;1080;44946
"2006";"75";"Nouvelle-Aquitaine";16594;27;12;28;58;1680;45274
"2006";"76";"Occitanie";13261;50;26;64;130;1445;71607
"2006";"84";"Auvergne-Rhône-Alpes";12815;58;30;64;100;1311;76381
"2006";"93";"Provence-Alpes-Côte d'Azur";4700;97;69;120;188;1528;147840
"2006";"94";"Corse";604;34;28;41;58;1990;68202
"2006";"XX";"Région fictive";1712;75;52;90;151;1287;95906
